trial,rep,plot,n_rate,inoc_rate,d15n_vt_permil,n_uptake_vt_kgha,yield_mgha
CO01451,1,104,low,Control,NA,168.83192950713095,14.13540502374
CO01451,1,105,low,Low,NA,238.4329939773358,13.315748984670002
CO01451,1,108,low,High,NA,169.9671510772814,13.4923165674
CO01451,1,109,low,Medium,NA,214.2156071168335,14.27615363262
CO01451,1,115,high,Control,NA,232.1291132887072,14.46161747382
CO01451,2,201,low,Control,NA,202.88550403240848,12.516058732320001
CO01451,2,202,low,Low,NA,188.63606417329646,14.332514029350001
CO01451,2,204,low,High,NA,204.33023847279168,14.107053983550001
CO01451,2,205,low,Medium,NA,202.31490067732204,11.98401339927
CO01451,2,213,high,Control,NA,214.7397761336903,14.636304225840002
CO01451,3,303,low,Medium,NA,164.53632032113129,13.929024211740002
CO01451,3,307,low,High,NA,241.09933542596534,13.39090849041
CO01451,3,308,low,Low,NA,170.75651369932373,13.249879756740002
CO01451,3,309,low,Control,NA,219.7364305107287,13.741621047
CO01451,3,316,high,Control,NA,184.234364823692,13.46872148523
CO01451,4,403,low,Control,NA,227.00492743380138,14.82158028681
CO01451,4,404,low,Low,NA,216.83716361236364,12.89369092572
CO01451,4,405,low,High,NA,218.60090968129495,13.61779071015
CO01451,4,406,low,Medium,NA,200.08385526446742,13.87323945117
CO01451,4,413,high,Control,NA,225.95403247225926,14.861718099359999
CO01451,5,502,low,High,NA,202.40813560479057,14.59064703888
CO01451,5,503,low,Medium,NA,181.57878902690982,13.29742085298
CO01451,5,506,low,Control,NA,156.091659655465,13.26738906405
CO01451,5,507,low,Low,NA,203.32745514135877,13.69549288272
CO01451,5,517,high,Control,NA,196.07176308452995,14.367190960320002
CO01451,6,603,low,Low,NA,193.08481224062623,13.18426294647
CO01451,6,605,low,Medium,NA,157.92330999050677,11.4580692402
CO01451,6,607,low,High,NA,171.41482261040355,13.52906826018
CO01451,6,608,low,Control,NA,174.64958080037627,12.84385958031
CO01451,6,613,high,Control,NA,231.65636532633027,15.054680653650001
IA01451,1,104,high,Control,NA,202.30108163199904,11.015763000000002
IA01451,1,110,low,High,NA,151.3915549353332,16.04994599373
IA01451,1,111,low,Medium,NA,187.01872318469466,13.33252799373
IA01451,1,114,low,Low,NA,119.18938912998233,12.563199000000001
IA01451,1,115,low,Control,NA,153.6680503014972,14.214089993730001
IA01451,2,209,high,Control,NA,164.48932000917128,14.555805
IA01451,2,210,low,Low,NA,155.35143803836777,14.168319000000002
IA01451,2,214,low,Medium,NA,136.92056593590718,13.153206
IA01451,2,216,low,Control,NA,120.80885205030074,13.69493399373
IA01451,2,218,low,High,NA,176.1235578714404,12.437799
IA01451,3,307,high,Control,NA,154.96642124199724,14.26425
IA01451,3,311,low,Medium,NA,201.41766226564843,15.863100000000001
IA01451,3,313,low,High,NA,196.13502493283247,15.404136000000001
IA01451,3,314,low,Control,NA,128.41490023657263,13.99840199373
IA01451,3,315,low,Low,NA,191.6373004701514,14.899401
IA01451,4,405,high,Control,NA,174.9768313165855,14.518812
IA01451,4,412,low,Control,NA,149.57189103580146,15.046745993730001
IA01451,4,416,low,Medium,NA,219.49443115398861,13.464825000000001
IA01451,4,417,low,High,NA,215.6579735656714,14.004672000000003
IA01451,4,418,low,Low,NA,150.3315981627434,11.681010000000002
IA01451,5,508,high,Control,NA,209.74382040972375,13.603392000000001
IA01451,5,510,low,Low,NA,221.5166813863178,14.14950899373
IA01451,5,511,low,Control,NA,165.81633600592608,15.34080899373
IA01451,5,515,low,High,NA,231.50196770078256,13.971441
IA01451,5,518,low,Medium,NA,205.72225374815548,12.38387699373
IA01451,6,602,high,Control,NA,180.9898949422977,15.26055299373
IA01451,6,611,low,Medium,NA,220.18865831716948,14.341370993730001
IA01451,6,613,low,Low,NA,207.87663331537172,13.904979
IA01451,6,616,low,High,NA,253.47340496603638,14.460501
IA01451,6,618,low,Control,NA,185.2928754311649,14.041038
IA02451,1,101,low,Control,3.135,214.3960276795005,11.883531000000001
IA02451,1,103,low,High,3.98,168.0080062797811,11.523006
IA02451,1,106,low,Medium,3.47,155.29150846023157,11.670351
IA02451,1,109,low,Low,2.72999995,218.7487127382557,11.526768
IA02451,1,114,high,Control,2.81,284.3592070218758,11.66282699373
IA02451,2,203,low,Low,3.35,203.26018444064275,12.37635299373
IA02451,2,204,low,Control,2.77,205.0081929240375,11.452782000000001
IA02451,2,207,low,Medium,2.9199999,151.61482881881892,13.134395993730001
IA02451,2,209,low,High,3.2799999,226.40363444533824,12.361932000000001
IA02451,2,218,high,Control,3.2799999,275.00638177933774,12.957582
IA02451,3,302,low,Low,3.25,160.09016404493485,11.686026
IA02451,3,305,low,High,3.66,167.84069548833907,11.45340899373
IA02451,3,307,low,Control,3.94,216.5641084428337,11.589468
IA02451,3,309,low,Medium,3.7799999,177.45600698537007,12.026487000000001
IA02451,3,316,high,Control,5.2,194.01721031585865,12.497363993730001
IA02451,4,401,low,Medium,1.8899999,221.12262209874518,11.201355000000001
IA02451,4,403,low,High,2.465,203.40369278630777,12.32055
