trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
IA03451,1,Low,Control,UTC,137-2253,0
IA03451,1,Low,Control,UTC,6-5687,0
IA03451,1,Low,Low,PROVEN40,137-2253,8.12911558604145
IA03451,1,Low,Low,PROVEN40,6-5687,0
IA03451,1,Low,Medium,PROVEN40,137-2253,24.776914699011748
IA03451,1,Low,Medium,PROVEN40,6-5687,0
IA03451,1,Low,High,PROVEN40,137-2253,10.3381725257775
IA03451,1,Low,High,PROVEN40,6-5687,292.977727692641
IA03451,2,Low,Control,UTC,137-2253,0
IA03451,2,Low,Control,UTC,6-5687,0
IA03451,2,Low,Low,PROVEN40,137-2253,10722.652864112246
IA03451,2,Low,Low,PROVEN40,6-5687,875.121787879665
IA03451,2,Low,Medium,PROVEN40,137-2253,3161.652235546365
IA03451,2,Low,Medium,PROVEN40,6-5687,1229.93306820538
IA03451,2,Low,High,PROVEN40,137-2253,21755.34497882671
IA03451,2,Low,High,PROVEN40,6-5687,28260.248367407352
IA03451,3,Low,Control,UTC,137-2253,26.40597834290615
IA03451,3,Low,Control,UTC,6-5687,0
IA03451,3,Low,Low,PROVEN40,137-2253,8.18017130447085
IA03451,3,Low,Low,PROVEN40,6-5687,0
IA03451,3,Low,Medium,PROVEN40,137-2253,52322.46712245135
IA03451,3,Low,Medium,PROVEN40,6-5687,42246.54919907535
IA03451,3,Low,High,PROVEN40,137-2253,40.9404360118034
IA03451,3,Low,High,PROVEN40,6-5687,2477.6666212847304
IA03451,4,Low,Control,UTC,137-2253,17.04295379182295
IA03451,4,Low,Control,UTC,6-5687,0
IA03451,4,Low,Low,PROVEN40,137-2253,0
IA03451,4,Low,Low,PROVEN40,6-5687,0
IA03451,4,Low,Medium,PROVEN40,137-2253,614.057857501515
IA03451,4,Low,Medium,PROVEN40,6-5687,1051.74661506035
IA03451,4,Low,High,PROVEN40,137-2253,1645.773962327052
IA03451,4,Low,High,PROVEN40,6-5687,1005.052715942803
IA03451,5,Low,Control,UTC,137-2253,20.88782382579195
IA03451,5,Low,Control,UTC,6-5687,0
IA03451,5,Low,Low,PROVEN40,137-2253,81.527237506297
IA03451,5,Low,Low,PROVEN40,6-5687,323.696852309724
IA03451,5,Low,Medium,PROVEN40,137-2253,0
IA03451,5,Low,Medium,PROVEN40,6-5687,0
IA03451,5,Low,High,PROVEN40,137-2253,68571.19375507391
IA03451,5,Low,High,PROVEN40,6-5687,30838.31114112209
IA03451,6,Low,Control,UTC,137-2253,28.610388466285947
IA03451,6,Low,Control,UTC,6-5687,0
IA03451,6,Low,Low,PROVEN40,137-2253,2433.444710953915
IA03451,6,Low,Low,PROVEN40,6-5687,540.382791866965
IA03451,6,Low,Medium,PROVEN40,137-2253,0
IA03451,6,Low,Medium,PROVEN40,6-5687,138.167430782231
IA03451,6,Low,High,PROVEN40,137-2253,82.9737955200656
IA03451,6,Low,High,PROVEN40,6-5687,457.5644185842715
IA04451,1,Low,Control,UTC,137-2253,0
IA04451,1,Low,Control,UTC,6-5687,0
IA04451,1,Low,Low,PROVEN40,137-2253,0
IA04451,1,Low,Low,PROVEN40,6-5687,0
IA04451,1,Low,Medium,PROVEN40,137-2253,2045.732526142875
IA04451,1,Low,Medium,PROVEN40,6-5687,0
IA04451,1,Low,High,PROVEN40,137-2253,0
IA04451,1,Low,High,PROVEN40,6-5687,0
IA04451,2,Low,Control,UTC,137-2253,273.1701972417415
IA04451,2,Low,Control,UTC,6-5687,0
IA04451,2,Low,Low,PROVEN40,137-2253,0
IA04451,2,Low,Low,PROVEN40,6-5687,0
IA04451,2,Low,Medium,PROVEN40,137-2253,88423.62717122334
IA04451,2,Low,Medium,PROVEN40,6-5687,0
IA04451,2,Low,High,PROVEN40,137-2253,23239.5433235545
IA04451,2,Low,High,PROVEN40,6-5687,0
IA04451,3,Low,Control,UTC,137-2253,1789.43320267857
IA04451,3,Low,Control,UTC,6-5687,0
IA04451,3,Low,Low,PROVEN40,137-2253,0
IA04451,3,Low,Low,PROVEN40,6-5687,0
IA04451,3,Low,Medium,PROVEN40,137-2253,431.2044847476555
IA04451,3,Low,Medium,PROVEN40,6-5687,0
IA04451,3,Low,High,PROVEN40,137-2253,0
IA04451,3,Low,High,PROVEN40,6-5687,0
IA04451,4,Low,Low,PROVEN40,137-2253,448.533792669878
IA04451,4,Low,Low,PROVEN40,6-5687,0
IA04451,4,Low,Medium,PROVEN40,137-2253,3274.19788334633
IA04451,4,Low,Medium,PROVEN40,6-5687,0
IA04451,4,Low,High,PROVEN40,137-2253,0
IA04451,4,Low,High,PROVEN40,6-5687,0
IA04451,5,Low,Control,UTC,137-2253,1584.229993053664
IA04451,5,Low,Control,UTC,6-5687,0
IA04451,5,Low,Low,PROVEN40,137-2253,7598.8304503741
IA04451,5,Low,Low,PROVEN40,6-5687,0
IA04451,5,Low,Medium,PROVEN40,137-2253,3372.46043983426
