Site_id,trial_year,year,tmean,rain,tmean_percentile,rain_percentile,Owner,Year,planting_date,lat,long,whc,soc
ACRE 2021,2021,2021,1637.36,331.58,70.96774193548387,67.74193548387096,Purdue University,2021,2021-04-28T00:00:00Z,40.477413,-87.004443,171.95,10.88886290926263
ACRE 2022,2022,2022,1675.21,202.8,87.09677419354838,6.451612903225806,Purdue University,2022,2022-05-02T00:00:00Z,40.4700291,-86.9917576,157.95000000000005,5.330316748613363
Arlington 2022,2022,2022,1503.71,292.23,74.19354838709677,45.16129032258064,University of Wisconsin-Madison,2022,2022-05-31T00:00:00Z,43.36,-88.65,184.35,6.277575297744373
Hancock 2021,2021,2021,1482.515,337,83.87096774193549,70.96774193548387,University of Wisconsin-Madison,2021,2021-05-12T00:00:00Z,44.7,-89.53,35.349999999999994,1.3003583695254195
Hancock 2022,2022,2022,1441.045,291.03,58.06451612903226,41.935483870967744,University of Wisconsin-Madison,2022,2022-05-26T00:00:00Z,44.7,-89.53,35.349999999999994,1.3003583695254195
PB 01,2021,2021,1048.69,138.42,93.54838709677419,19.35483870967742,Pivot Bio,2021,2021-05-12T00:00:00Z,43.1284,-95.6763,174.79999999999998,8.898962440129
PB 02,2022,2022,983.43,209.13,83.87096774193549,80.64516129032258,Pivot Bio,2022,2022-05-14T00:00:00Z,43.1138,-76.5517,156.95000000000002,6.010517136526217
PB 03,2022,2022,1152.27,343.55,80.64516129032258,87.09677419354838,Pivot Bio,2022,2022-05-12T00:00:00Z,39.0034,-95.1197,166.75000000000003,7.327564016310854
PB 04,2022,2022,1372.515,220.29,90.32258064516128,48.38709677419355,Pivot Bio,2022,2022-05-23T00:00:00Z,40.919,-89.5287,177.9,6.677487634356774
PB 05,2022,2022,1539.3799999999999,167.47,90.32258064516128,19.35483870967742,Pivot Bio,2022,2022-05-24T00:00:00Z,37.4746,-87.2623,163.8,4.147851817138729
PB 06,2022,2022,1252.255,231.87,87.09677419354838,35.483870967741936,Pivot Bio,2022,2022-05-24T00:00:00Z,42.6482,-91.3956,143.15,9.041989407324266
PB 07,2022,2022,1090.09,190.32999999999998,93.54838709677419,29.03225806451613,Pivot Bio,2022,2022-05-12T00:00:00Z,41.5404,-91.2894,190.54999999999995,7.857110677011909
PB 08,2022,2022,1316.115,182.34,87.09677419354838,38.70967741935484,Pivot Bio,2022,2022-05-17T00:00:00Z,38.5558,-89.7407,187.55,3.7026374477958335
PB 09,2022,2022,797.355,155.29,83.87096774193549,64.51612903225806,Pivot Bio,2022,2022-04-28T00:00:00Z,36.2491,-80.5827,113.65,2.6839657149980902
PB 10,2022,2022,593.675,53.879999999999995,90.32258064516128,38.70967741935484,Pivot Bio,2022,2022-04-15T00:00:00Z,34.519,-79.5292,99.1,2.4983147511039068
PB 11,2022,2022,1082.9850000000001,84.65,74.19354838709677,6.451612903225806,Pivot Bio,2022,2022-05-13T00:00:00Z,42.1467,-96.1379,158.2,9.044506035232358
PB 12,2022,2022,1140.92,214.45,83.87096774193549,29.03225806451613,Pivot Bio,2022,2022-05-14T00:00:00Z,38.916,-86.1745,190.20000000000002,2.9712128068759744
PB 13,2022,2022,787.1850000000001,161.65,67.74193548387096,74.19354838709677,Pivot Bio,2022,2022-04-24T00:00:00Z,34.8875,-90.1651,216.74999999999997,3.931492348861204
PB 14,2022,2022,770.555,269.53000000000003,77.41935483870968,83.87096774193549,Pivot Bio,2022,2022-04-27T00:00:00Z,39.0812,-95.5783,183.70000000000002,9.422677840753055
PB 15,2022,2022,770.52,96.46,80.64516129032258,64.51612903225806,Pivot Bio,2022,2022-04-26T00:00:00Z,36.921,-100.7792,102.79999999999998,2.6258018814420003
PB 16,2022,2022,1543.675,169.21,83.87096774193549,16.129032258064516,Pivot Bio,2022,2022-06-23T00:00:00Z,45.398,-95.4086,121.19999999999997,4.847933718010771
