Year,Rep,N_rate_lbac,Microbe,yield_buac
2021,1,0,PROVEN40,134.19
2021,1,0,UTC,119.36
2021,1,95,PROVEN40,227.3
2021,1,95,UTC,217.71
2021,1,175,PROVEN40,243.04
2021,1,175,UTC,227.34
2021,1,215,PROVEN40,257.32
2021,1,215,UTC,272.11
2021,1,255,PROVEN40,268.71
2021,1,255,UTC,246.52
2021,2,135,PROVEN40,258.33
2021,2,135,UTC,274.29
2021,2,0,PROVEN40,145.12
2021,2,0,UTC,139.5
2021,2,255,PROVEN40,274.43
2021,2,255,UTC,255.5
2021,2,215,PROVEN40,302.06
2021,2,215,UTC,262.98
2021,2,175,PROVEN40,253.52
2021,2,175,UTC,235.89
2021,2,95,PROVEN40,238.15
2021,2,95,UTC,203.37
2021,3,135,PROVEN40,221.94
2021,3,135,UTC,212.29
2021,3,175,PROVEN40,244.57
2021,3,175,UTC,232.15
2021,3,215,PROVEN40,276.12
2021,3,215,UTC,277.72
2021,3,95,PROVEN40,233.02
2021,3,95,UTC,216.65
2021,3,255,PROVEN40,274.61
2021,3,255,UTC,281.71
2021,3,0,PROVEN40,130.77
2021,3,0,UTC,100.77
2021,1,135,PROVEN40,244.66
2021,1,135,UTC,265.48
2021,4,175,PROVEN40,248.19
2021,4,175,UTC,236.94
2021,4,95,PROVEN40,228.44
2021,4,95,UTC,202.98
2021,4,255,PROVEN40,261.3
2021,4,255,UTC,264.41
2021,4,0,PROVEN40,127.73
2021,4,0,UTC,121.23
2021,4,215,PROVEN40,282.95
2021,4,215,UTC,277.51
2021,4,135,PROVEN40,254.1
2021,4,135,UTC,234.89
2021,5,95,PROVEN40,197.53
2021,5,95,UTC,179.75
2021,5,135,PROVEN40,216.14
2021,5,135,UTC,215.68
2021,5,255,PROVEN40,274.09
2021,5,255,UTC,280.61
2021,5,0,PROVEN40,144.57
2021,5,0,UTC,122.38
2021,5,215,PROVEN40,304.8
2021,5,215,UTC,267
2021,5,175,PROVEN40,264.23
2021,5,175,UTC,258.65
2021,6,255,PROVEN40,250.12
2021,6,255,UTC,248.24
2021,6,175,PROVEN40,252.4
2021,6,175,UTC,265.59
2021,6,135,PROVEN40,260.06
2021,6,135,UTC,238.1
2021,6,215,PROVEN40,269.04
2021,6,215,UTC,256.9
2021,6,95,PROVEN40,262.36
2021,6,95,UTC,248.4
2021,6,0,PROVEN40,147.49
2021,6,0,UTC,109.66
2021,7,95,PROVEN40,250.61
2021,7,95,UTC,244.08
2021,7,135,PROVEN40,265.06
2021,7,135,UTC,257.2
2021,7,0,PROVEN40,153.15
2021,7,0,UTC,141.7
2021,7,215,PROVEN40,305.4
2021,7,215,UTC,312.1
2021,7,175,PROVEN40,318.96
2021,7,175,UTC,314.89
