field_id,field_id_hash,n_fert_reduced_kgha,growth_stage,treatment,fresh_weight_g,cci
18812,00654f53,0,V7,BAU,117.5,26.12
18812,00654f53,44.8,V7,PROVEN40,143.3,33.24
23879,01bf6458,0,VT,BAU,548.8,45.04
23879,01bf6458,44.8,VT,PROVEN40,810.5,49.62
Keller,03ec4143,0,V7,BAU,146.1,63.43
Keller,03ec4143,44.8,V7,PROVEN40,117,62.66
20486,040b12ca,0,V12,BAU,784.7,38.16
20486,040b12ca,44.8,V12,PROVEN40,829.5,39.27
21285,04b6431a,0,V11,BAU,724.3,59.78
21285,04b6431a,44.8,V11,PROVEN40,856.7,57.93
21285,04b6431a,0,V12,BAU,716.7,44.56
21285,04b6431a,44.8,V12,PROVEN40,881.3,41.13
56765,09ee19a3,0,V11,BAU,525.7,41.73
56765,09ee19a3,44.8,V11,PROVEN40,508.2,41.61
56765,09ee19a3,0,V9,BAU,525.7,41.73
56765,09ee19a3,44.8,V9,PROVEN40,508.2,41.61
21319,0b9735b1,0,V12,BAU,611.6,41.75
21319,0b9735b1,44.8,V12,PROVEN40,703.1,48.12
23873,0db43370,0,V6,BAU,94.17,29.3
23873,0db43370,44.8,V6,PROVEN40,117.5,34.05
20151,10039001,0,V8,BAU,386.3,56.43
20151,10039001,44.8,V8,PROVEN40,434,57.31
37991,11f31acb,0,V12,BAU,478.5,35.81
37991,11f31acb,44.8,V12,PROVEN40,441.5,34.28
36287,1259bedc,0,VT,BAU,487.5,45.51
36287,1259bedc,44.8,VT,PROVEN40,474.7,59.79
Diannes,16f65bde,0,V9,BAU,260.2,48.46
Diannes,16f65bde,44.8,V9,PROVEN40,262.4,46.73
36136,1703abb5,0,V10,BAU,547.7,39.58
36136,1703abb5,44.8,V10,PROVEN40,605.7,48.21
8708,17cec1ab,0,V12,BAU,543.5,47.04
8708,17cec1ab,44.8,V12,PROVEN40,686,47.71
38040,1fa8ebd4,0,V12,BAU,529.2,36.93
38040,1fa8ebd4,44.8,V12,PROVEN40,568.5,45.88
27762,21913575,0,V7,BAU,117.7,57.45
27762,21913575,44.8,V7,PROVEN40,124.7,51.61
27762,21913575,0,VT,BAU,451.5,29
27762,21913575,44.8,VT,PROVEN40,431.7,30.83
36485,2270bb0f,0,V9,BAU,371.2,61.26
36485,2270bb0f,44.8,V9,PROVEN40,464.8,55.46
22599,2a104401,0,V8,BAU,373.3,42.03
22599,2a104401,44.8,V8,PROVEN40,310.2,40.5
35985,2a255bb3,0,V12,BAU,619.5,38.37
35985,2a255bb3,44.8,V12,PROVEN40,539,35.6
38190,2b42f281,0,V11,BAU,654.5,48.11
38190,2b42f281,44.8,V11,PROVEN40,733.6,47.72
55581,30ec3955,0,V11,BAU,630.2,40.7
