field_id_hash,sample_id,treatment,growth_stage,rep,pair,fresh_weight_field,cci_average_field,dry_weight_lab,nitrogen_percentage_lab,g_n_plant_lab
03ec4143,78933a53,1,V7,1,1,153,75.19999999999999,30.3,4.2,0.6363
03ec4143,3f19aa56,1,V7,1,2,156,70.1125,34.4,4.31,0.74132
03ec4143,a7c3ccd3,1,V7,1,3,174,68.975,37,4.04,0.7474
03ec4143,3a4625d8,1,V7,2,1,172,60.587500000000006,39.1,3.96,0.77418
03ec4143,0ded8a3e,1,V7,2,2,173,62.037499999999994,36.9,4.19,0.773055
03ec4143,892ae649,1,V7,2,3,151,60.325,31.3,4.16,0.65104
03ec4143,c2308115,1,V7,3,1,99,56.7625,21.9,3.96,0.43362
03ec4143,ae9e8b15,1,V7,3,2,119,60.5625,25.4,4,0.508
03ec4143,e66824fa,1,V7,3,3,118,56.325,26.3,4.19,0.550985
03ec4143,0e45e195,2,V7,1,1,144,69.3375,29.8,4.01,0.59749
03ec4143,b5b6eeef,2,V7,1,2,158,64.125,34,3.68,0.6256
03ec4143,b325175a,2,V7,1,3,177,65.35,34.8,4.06,0.70644
03ec4143,5716e303,2,V7,2,1,166,63.787499999999994,33,4.28,0.7062
03ec4143,3081011c,2,V7,2,2,134,65.425,31.2,3.85,0.6006
03ec4143,41271614,2,V7,2,3,154,57.15,24,4.09,0.4908
03ec4143,835e77e9,2,V7,3,1,133,65.9125,31.6,4.55,0.7189
03ec4143,40f47a24,2,V7,3,2,125,61.8125,27.3,4.15,0.566475
03ec4143,5dc825fd,2,V7,3,3,142,63.2,31.8,3.97,0.63123
03ec4143,9c4c61db,3,V7,1,1,128,65.15,30.5,3.76,0.5734
03ec4143,3af83346,3,V7,1,2,92,59.3625,24.6,3.82,0.46986
03ec4143,b9094b49,3,V7,1,3,72,51.787499999999994,18.3,3.99,0.365085
03ec4143,b58ca379,3,V7,2,1,100,66.5625,21.5,4.13,0.443975
03ec4143,99483e7a,3,V7,2,2,97,62.762499999999996,22.5,4.05,0.455625
03ec4143,84fb0f3d,3,V7,2,3,110,59.0125,24.9,4.2,0.5229
03ec4143,3b58e190,3,V7,3,1,125,65.35,27.5,4.28,0.5885
03ec4143,2113723f,3,V7,3,2,124,70.0875,26.2,3.94,0.51614
03ec4143,1411557e,3,V7,3,3,124,64.75,28.9,4.12,0.59534
03ec4143,b5d579c9,4,V7,1,1,129,71.23750000000001,27.8,3.94,0.54766
03ec4143,3a760bf8,4,V7,1,2,136,62.2,29.2,4.03,0.58838
